Necro,Live,prop,se
Control,MBC,2.807669162,0.12969969
Ecoli,MBC,6.48266381,0.648761777
Mluteus,MBC,4.253177067,0.221324297
Scerevisiae,MBC,6.346437977,1.582417192
Control,CO2,0.310692654,0.025558171
Ecoli,CO2,2.401166376,0.376824996
Mluteus,CO2,2.128908715,0.211657171
Scerevisiae,CO2,2.205242408,0.155521538
Control,N2O,0.074881677,0.017208845
Ecoli,N2O,1.416563894,0.611856566
Mluteus,N2O,1.411468489,0.461070131
Scerevisiae,N2O,1.801220946,0.370216961
Control,CUE,0.689710959,0.009659697
Ecoli,CUE,0.308242199,0.075475604
Mluteus,CUE,0.235701664,0.014892347
Scerevisiae,CUE,0.312768111,0.060360076
